"Group1","Group2","U","Z","r","p_raw","CI_lower","CI_upper","p_holm"
"n_gram_word","n_gram_POS",1737126,34.4737347395901,0.649408309308242,1.98563605187355e-260,4.44694639717222,5.08804767436065,5.7583445504333e-259
"n_gram_word","n_gram_word_POS",969229,-1.08408000002138,-0.0204216504329096,0.278339533295684,-0.562923504972704,0.277547058250385,0.835018599887052
"n_gram_word","PCFG_pos",1731761,34.2253060101147,0.644728465873496,1.01626514919853e-256,4.35562160919354,4.94299141214781,2.84554241775587e-255
"n_gram_word","PCFG_total",1027743,1.62543699467144,0.0306196093510116,0.104074364017878,-0.193735682956011,0.568016867681893,0.520371820089391
"n_gram_word","PCFG_lex",1320610,15.1867746862444,0.2860849788205,4.32830089145471e-52,1.51494569443261,2.35606218676521,7.358111515473e-51
"n_gram_word","PCFG_syn",1789600,36.9035668272873,0.695180928953138,4.0527233378166e-298,4.97340157893928,5.57470385321942,1.41845316823581e-296
"n_gram_word","RNNG_word",1064329,3.31956812171507,0.0625332630143151,0.000901641766425416,-0.0668874353456093,0.77636771686388,0.00901641766425416
"n_gram_word","transformer_word",1030450,1.75078584288953,0.0329809022080215,0.079986760494667,-0.135658159703785,0.630567695137915,0.479920562968002
"n_gram_POS","n_gram_word_POS",255771,-34.1210724462658,-0.642764937901154,3.59190870808244e-255,-5.22660180057094,-4.59687272080878,9.69815351182260e-254
"n_gram_POS","PCFG_pos",975200,-0.807590168949995,-0.0152131984014335,0.419339145176589,-0.246605728380867,0.0455241965024135,0.838678290353179
"n_gram_POS","PCFG_total",218621,-35.8413198460819,-0.67517056392181,2.51034071620139e-281,-4.80402177349421,-4.27793351680044,8.28412436346458e-280
"n_gram_POS","PCFG_lex",552052,-20.4016479546128,-0.384321565545137,1.6169452123808e-92,-3.15540185765095,-2.51385456887993,3.23389042476161e-91
"n_gram_POS","PCFG_syn",1158564,7.68316203077747,0.14473364438865,1.55228213574489e-14,0.379048957393929,0.635172995502425,1.86273856289387e-13
"n_gram_POS","RNNG_word",288442,-32.6082271488394,-0.614266305122665,3.13526268610783e-233,-4.73853706595469,-4.0850545189346,7.83815671526957e-232
"n_gram_POS","transformer_word",291850,-32.4504181814484,-0.611293535984619,5.34300438680703e-231,-4.78668810242825,-4.22133816266919,1.28232105283369e-229
"n_gram_word_POS","PCFG_pos",1724892,33.9072338865794,0.638736696152476,5.21036603791412e-252,4.44611127050896,5.106512800704,1.35469516985767e-250
"n_gram_word_POS","PCFG_total",1048952,2.60752924508057,0.0491200379451461,0.00912043537073421,-0.0429153683839676,0.735673966445106,0.0729634829658736
"n_gram_word_POS","PCFG_lex",1331769,15.7034971824637,0.295818878706489,1.43176154978815e-55,1.62601315454162,2.49186718772335,2.57717078961867e-54
"n_gram_word_POS","PCFG_syn",1781201,36.5146473680395,0.687854553369087,6.49695520575482e-292,5.07566031517857,5.72897054838763,2.20896476995664e-290
"n_gram_word_POS","RNNG_word",1084341,4.24623275065503,0.0799895587861958,2.17416826745198e-05,0.0635550510888917,0.970546248413823,0.000239158509419718
"n_gram_word_POS","transformer_word",1050746,2.69060121911206,0.050684928741406,0.00713282732187997,0.00210592495854459,0.777039321446892,0.0641954458969198
"PCFG_pos","PCFG_total",223880,-35.5977994941133,-0.670583183376921,1.51459238620131e-277,-4.7061,-4.169,4.84669563584419e-276
"PCFG_pos","PCFG_lex",560685,-20.0018930204914,-0.37679107377027,5.3024216092238e-89,-3.043,-2.347,1.00746010575252e-87
"PCFG_pos","PCFG_syn",1174811.5,8.43550980005101,0.158906199133484,3.29763732312831e-17,0.48195,0.738025,4.2869285200668e-16
"PCFG_pos","RNNG_word",293162,-32.3896654334388,-0.610149089649785,3.83669641472382e-230,-4.58184813079834,-3.94096846733093,8.82440175386479e-229
"PCFG_pos","transformer_word",297002.5,-32.2118293597108,-0.606799054475294,1.2051142587637e-227,-4.6281175,-4.0921775,2.65125136928015e-226
"PCFG_total","PCFG_lex",1305459.5,14.4852239936222,0.272869327756544,1.50277095178731e-47,1.328975,2.15605,2.4044335228597e-46
"PCFG_total","PCFG_syn",1822270.5,38.4163889719896,0.72367912558592,0,4.787575,5.359075,0
"PCFG_total","RNNG_word",1032499,1.84566570620644,0.0347682273147866,0.06494409510711,-0.225288274574279,0.574687591552735,0.45460866574977
"PCFG_total","transformer_word",1000316,0.355417467490937,0.00669527274620582,0.722294173001436,-0.291375,0.390065,0.838678290353179
"PCFG_lex","PCFG_syn",1503857.5,23.6721323012591,0.445930199660882,6.98737227710707e-124,3.02295,3.652025,1.46734817819249e-122
"PCFG_lex","RNNG_word",727222,-12.2903225972566,-0.231522278599287,1.0212508891895e-34,-2.06028448257446,-1.14207861213684,1.42975124486529e-33
"PCFG_lex","transformer_word",709570,-13.1077063684963,-0.246919966634728,2.97542256561261e-39,-2.078035,-1.3019225,4.46313384841891e-38
"PCFG_syn","RNNG_word",230437,-35.2941746704095,-0.66486356857699,7.21776773411071e-273,-5.23615516757965,-4.57881642684937,2.23750799757432e-271
"PCFG_syn","transformer_word",240028,-34.8500591169335,-0.656497421627754,4.25091201128074e-266,-5.254665,-4.738875,1.27527360338422e-264
"RNNG_word","transformer_word",962814,-1.38112945008383,-0.0260173998520888,0.167246239543497,-0.500109798736572,0.2760317288208,0.66898495817399
